Method,Method Code,Job ID,Total Steps,Final Train Loss,Final Train Acc (%),Best Eval Acc (%),Best Eval Loss,Best Eval Step,Steps to 70%,Steps to 80%,Trainable Params (M),Total Params (M),Param Ratio (%)
LoRA-Diffusion,lora_diffusion,43980587,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43980530,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43980580,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43981324,100,0.5652490556240082,80.96587896347046,,,,60.0,80.0,,,0.0
LoRA-Diffusion,lora_diffusion,43980718,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43980702,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43980687,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43980599,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,43982072,0,,,,,,,,,,0.0
LoRA-Diffusion,lora_diffusion,44024682,5000,0.24324506670236587,84.14095342159271,84.71805486110372,0.3014104806501931,500.0,60.0,80.0,,,0.0
Full Fine-tuning,full_ft,43982073,0,,,,,,,,,,0.0
Full Fine-tuning,full_ft,43981430,50,0.2620656847953796,82.13330805301666,,,,20.0,20.0,,,0.0
Weight LoRA,weight_lora,43981849,50,3.236529326438904,44.32769685983658,,,,,,,,0.0
Weight LoRA,weight_lora,43981429,0,,,,,,,,,,0.0
Weight LoRA,weight_lora,43981544,0,,,,,,,,,,0.0
Weight LoRA,weight_lora,43981513,0,,,,,,,,,,0.0
Weight LoRA,weight_lora,43982076,0,,,,,,,,,,0.0
Adapters,adapters,43981494,0,,,,,,,,,,0.0
Adapters,adapters,43982077,0,,,,,,,,,,0.0
Adapters,adapters,43981545,0,,,,,,,,,,0.0
Adapters,adapters,43981878,0,,,,,,,,,,0.0
Adapters,adapters,43981924,0,,,,,,,,,,0.0
Adapters,adapters,43981956,0,,,,,,,,,,0.0
Adapters,adapters,43981850,0,,,,,,,,,,0.0
Adapters,adapters,43981431,0,,,,,,,,,,0.0
Adapters,adapters,43981982,50,8.987753009796142,5.657237134873867,,,,,,,,0.0
BitFit,bitfit,43981432,50,7.965582275390625,40.5369970202446,,,,,,,,0.0
BitFit,bitfit,43982075,0,,,,,,,,,,0.0
Prefix Tuning,prefix_tuning,43982079,0,,,,,,,,,,0.0
Prefix Tuning,prefix_tuning,43981907,0,,,,,,,,,,0.0
Prefix Tuning,prefix_tuning,43981852,0,,,,,,,,,,0.0
Prefix Tuning,prefix_tuning,43981433,0,,,,,,,,,,0.0
Prefix Tuning,prefix_tuning,43981496,0,,,,,,,,,,0.0
